Name,Price,Model,MPN,Processor,RAM,HDD,SSD,Graphics
" Lenovo ThinkCentre Neo 50t 12th Gen Intel Core i3 12100 4GB RAM, 1TB HDD Black Tower Brand PC #11SE000YGP",45000,ThinkCentre Neo 50tCore i3 12100,11SE000YGP,Core i3,4GB1 x 4GB RemovableDDR43200 MHz2164GB,1TB,No,Intel UHD Graphics 730
" Acer Veriton M200 11th Gen Intel Core i5 11400 Black Mini Tower Brand PC #UX.BH5SI.B42",53800,Veriton M200Core i5 11400,UX.BH5SI.B42,Core i5,8GBDDR42666 MHz2No,1TB,No,Intel UHD Graphics 730
" Acer Veriton M200 12th Gen Intel Core i3 12100 4GB RAM 1TB HDD Black Mini Tower Brand PC #UX.VWNSI.178",52000,Veriton M200Core i3 12100,UX.VWNSI.178,Core i3,4GBDDR42666 MHz,1TB,No,Intel UHD Graphics 730
" Dell OptiPlex 7010 13th Gen Intel Core i3 13100 4GB DDR4 256GB SSD Black Tower Brand PC",57000,OptiPlex 7010Core i3 13100,,Core i3,4GBDDR4,No,256GB,Intel HD Graphics
" HP 280 Pro G9 12th Gen Intel Core i5 12400 8GB RAM, 512GB SSD Tower Brand PC #950J6PA",67000,280 Pro G9Core i5 12400,950J6PA,Core i5,8GB1 x 8 GBDDR43200 MHz64GB,No,512GB,Intel UHD Graphics 730
,,,,,,,,
" HP ProDesk 400 G7 MT 10th Gen Intel Core i3 10100 4GB RAM, 1TB HDD Mid Tower Brand PC #31P82PA",57000,ProDesk 400 G7 MTCore i3 10100,31P82PA,Core i3,4GBDDR42666 MHz264GB,1TB,No,Intel UHD Graphics 630
" Dell Vostro 3020T 13th Gen Intel Core i3 13100 8GB RAM, 256GB SSD Black Tower Brand PC",56000,Vostro 3020TCore i3 13100,,Core i3,8GB1 x 8GB RemovableDDR43200 MHz2164GB,No,256GB,Intel UHD Graphics 730
" Lenovo ThinkCentre Neo 50s Gen 3 SFF 12th Gen Intel Core i5 12500 8GB RAM, 1TB HDD Raven Black Small Tower Brand PC #11SYS23300",63500,ThinkCentre Neo 50s Gen 3 SFFCore i5 12500,11SYS23300,Core i5,8GB1 x 8GBDDR43200 MHz2164GB,1TB,No,Intel UHD Graphics 770
" Acer Veriton M200 12th Gen Intel Core i5 12400 8GB RAM, 1TB HDD Black Mini Tower Brand PC #UX.VWNSI.177",62000,Veriton M200Core i5 12400,UX.VWNSI.177,Core i5,8GBDDR43200 MHz,1TB,No,Intel UHD Graphics 730
" HP ProDesk 400 G7 MT 10th Gen Intel Core i3 10100 8GB RAM 1TB HDD Mid Tower Brand PC #31P84PA",59000,ProDesk 400 G7 MTCore i3 10100,31P84PA,Core i3,8GBDDR42666 MHz264GB,1TB,No,Intel UHD Graphics 630
" Lenovo ThinkCentre Neo 50t 12th Gen Intel Core i3 12100 8GB RAM 1TB HDD Black Tower Brand PC #11SES0HM00 (8GB RAM + 180W PSU)",52000,ThinkCentre Neo 50tCore i3 12100,11SES0HM00,Core i3,8GB1 x 8GB RemovableDDR43200 MHz2164GB,1TB,No,Intel UHD Graphics 730
" HP 280 Pro G9 12th Gen Intel Core i3 12100 4GB DDR4 Tower Brand PC #827Q3PA",52000,280 Pro G9Core i3 12100,827Q3PA,Core i3,4GB1 x 4GB RemovableDDR43200 MHz21,No,256GB,Intel UHD Graphics 730
" Lenovo IdeaCentre 3 07IAB7 Intel Core i5 12400 8GB RAM 1TB HDD Mineral Grey Brand PC #90SM001XLK",58000,IdeaCentre 3 07IAB7Core i5 12400,90SM001XLK,Core i5,8GB1 x 8GB RemovableDDR43200 MHz2132GB,1TB,No,Intel UHD Graphics 730
" Lenovo ThinkCentre Neo 50t 12th Gen Intel Core i3 12100 8GB RAM Black Tower Brand PC #11SES0HM00 (8GB RAM + 260W PSU)",55000,ThinkCentre Neo 50tCore i3 12100,11SES0HM00,Core i3,8GB1 x 8GB RemovableDDR43200 MHz2164GB,1TB,No,Intel UHD Graphics 730
" Dell Vostro 3910 MT Intel Core i3 12100 8GB RAM 1TB HDD Black Mid Tower Brand PC #DOLPHINMTADL22057585",55000,Vostro 3910 MTCore i3 12100,DOLPHINMTADL22057585,Core i3,8GB1 x 8GB RemovableDDR43200 MHz2164GB,1TB,No,Intel UHD Graphics 730
" HP 280 Pro G9 12th Gen Intel Core i3 12100 8GB RAM 1TB HDD Tower Brand PC #6Q2N1PA",54500,280 Pro G9Core i3 12100,6Q2N1PA,Core i3,8GBDDR43200 MHz232GB,1TB,No,Intel UHD 770 Graphics
