Name,Price,Model,MPN,Processor,RAM,Storage,Graphics
" Lenovo IdeaPad D330 10IGL Intel CDC N4020 4GB RAM 128GB eMMC 10.1 Inch HD IPS Touch Display Mineral Grey Laptop",34500,IdeaPad D330 10IGLCDC N4020,82H0001VIN,Intel Celeron,4GB1 x 4GB Non-RemovableDDR42133 MHzNoneNo4GB,128GB eMMCInstalled SSD Can Not Be Replaced,Intel UHD Graphics 600
" HP 15s-fq5486TU Intel Core i3 1215U 4GB RAM 256GB SSD 15.6 Inch FHD Display Black Laptop",56500,15s-fq5486TUCore i3 1215U,681P8PA,Core i3,4GB1 x 4GB RemovableDDR43200 MHz2116GB,256GB SSDUnmentioned,Intel UHD Graphics
" HP 15s-fq5786TU Intel Core i3 1215U 8GB RAM 512GB SSD 15.6 Inch FHD Display Silver Laptop",63500,15s-fq5786TUCore i3 1215U,681P9PA,Core i3,8GB1 x 8GB RemovableDDR42132GB,512GB SSDInstalled SSD can be upgradeable,Intel UHD Graphics
" Acer Aspire 3 A315-59-390P Intel Core i3 1215U 8GB RAM 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop",57000,Aspire 3 A315-59-390PCore i3 1215U,NX.K6TSI.00A,Core i3,8GB1 x 8GB RemovableDDR43200 MHz2132GB,"512GB SSDAdditional HDD Can be added, SSD can be replaced",Intel UHD Graphics
" HP 15s-eq1578AU AMD Athlon Silver 3050U 8GB 256GB SSD 15.6 Inch FHD Display Silver Laptop",46500,15s-eq1578AUAthlon Silver 3050U,7K1K3PA,AMD Athlon,8GB2 x 4GB RemoveableDDR42No16GB,256GB SSDInstalled SSD can be upgradeable,AMD Radeon Graphics
" Acer Aspire Lite AL15-51 Intel Core i5 1155G7 8GB RAM 512GB SSD 15.6 Inch FHD Display Titanium Gray Laptop",61500,Aspire Lite AL15-51Core i5 1155G7,UN.431SI.327,Core i5,8GB1 x 8GB RemovableDDR43200 MHz2116GB,"512GB SSDAdditional HDD Can be added, SSD can be replaced",Intel Iris Xe Graphics
" Acer Aspire 3 A315-24P AMD Ryzen 3 7320U 8GB RAM 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop#UN.KDESI.027",53000,Aspire 3 A315-24PRyzen 3 7320U,UN.KDESI.027,Ryzen 3,8GBDDR5UnmentionedUnmentionedUnmentioned,512GB SSDInstalled SSD can be upgradeable,AMD Radeon 610M Graphics
" Acer Aspire 3 A315-59-5031 Intel Core i5 1235U 8GB RAM 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop",71500,Aspire 3 A315-59-5031Core i5 1235U,NX.K6TSI.00B,Core i5,8GB1 x 8GB RemovableDDR42132GB,512GB SSDInstalled SSD can be upgradeable,Intel Iris Xe Graphics
" Acer Aspire 3 A315-510P-38RH (13th Gen Standard) Intel Core i3 N305 8GB RAM, 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop",49800,Aspire 3 A315-510P-38RHCore i3 N305,NX.KMWSI.002/UN.KMWSI.001,Core i3,8GB1 x 8GB Non-RemovableLPDDR54800 MHzNoNo8GB,512GB SSDInstalled SSD can be upgradeable,Intel UHD Graphics
" Asus X515EA Intel Core i5 1135G7 4GB RAM 1TB HDD 15.6 Inch FHD Display Slate Grey Laptop #EJ2460W-X515EA",68500,X515EACore i5 1135G7,EJ2460W-X515EA,Core i5,4GB1 x 4GB Non-RemovableDDR41112GB,1TB HDDAdditional SSD Can be added,Intel Iris Xe Graphics
